店名,住所,緯度,経度,点数,レビュー数,URL
インディアンキッチン Indian Kitchen,鶴見区栄町通１－１０－１５ 盛田ビル２Ｆ Yokohama,35.5070183,139.6926575,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E3%83%B3%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-indian-kitchen/zpH6uiZtTs-mjRcwibtkrg
焼肉家 燦 Yakinikuya San,川崎市幸区 幸町4-18 スクエアフォー18ビル1F,35.53561505307902,139.6953151908984,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%84%BC%E8%82%89%E5%AE%B6-%E7%87%A6-yakinikuya-san/PXFBKfGsQZ6VRnzKb4OYhQ
タイ料理 パサタイ ナン’s キッチン Thai Restaurant Pasa Thai Nang's Kitchen,4 Chome-11-6 Tsurumichūō Tsurumi-Ku Yokohama-Shi Kanagawa-Ken  Japan 1F,35.5060974,139.6787975,4.5,21.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%BF%E3%82%A4%E6%96%99%E7%90%86-%E3%83%8F%E3%82%B5%E3%82%BF%E3%82%A4-%E3%83%8A%E3%83%B3s-%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-thai-restaurant-pasa-thai-nangs-kitchen/okAy3EoFR1-RlkfSy27dfg
カリフォルニアラウンジ ステーキ＆ワイン 川崎 California Lounge Steak&Wine Kawasaki,Ekimae Honchō Kawasaki-Ku B1F Kawasaki-Shi Kanagawa-ken,35.532672,139.699265,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%83%AA%E3%83%95%E3%82%A9%E3%83%AB%E3%83%8B%E3%82%A2%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B7-%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%26%E3%83%AF%E3%82%A4%E3%83%B3-%E5%B7%9D%E5%B4%8E-california-lounge-steak%26wine-kawasaki/rKM6MVPpTw2FhGX01ygP1Q
雅 川崎店 Miyabi,神奈川県 川崎市 川崎区 駅前本町18-2 金子ダイヤモンドビル 2階 Yokohama,35.5328555,139.6998124,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%9B%85-%E5%B7%9D%E5%B4%8E%E5%BA%97-miyabi/uQh5y-JoRvaCZCIGtIc8Ig
ラスミ Laxmi,川崎市幸区幸町1-747-4 Yokohama,35.5355773,139.69881519999998,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%A9%E3%82%B9%E3%83%9F-laxmi/3qN6O_C6RRejs2sjLdvtOQ
ペペロッソ Pepe Rosso,川崎区砂子2-10-10,35.5291588,139.7013818,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%98%E3%83%98%E3%83%AD%E3%83%83%E3%82%BD-pepe-rosso/8JPlaTsQSRu86tRtc8WXUg
グルン アジアン料理＆バー GURUNG ASIANRYOURI&BAR,6 Chome-3-5 Yakō Tsurumi-Ku Yokohama-Shi Kanagawa-ken,35.537383,139.6802,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AF%E3%83%AB%E3%83%B3-%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E6%96%99%E7%90%86%26%E3%83%8F%E3%83%BC-gurung-asianryouri%26bar/K8LO4E7NTtWnReD54zh9uQ
インド料理 タージ TAJ,東田町 川崎区 川崎市 神奈川県,35.527619,139.701403,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E6%96%99%E7%90%86-%E3%82%BF%E3%83%BC%E3%82%B7-taj/q7eubaFXTLimotvdC4LnjQ
インドレストラン シバ Indian Restaurant SHIVA,Tsurumi-Ku Tsukunochō 26 Yokohama-Shi Kanagawa-ken,35.515131,139.674001,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%82%B7%E3%83%8F-indian-restaurant-shiva/-yYa25gqRU2jEiESA6q8Wg
コパカバーナ COPACABANA,川崎区大師本町8-17 Yokohama,35.5352276,139.7297321,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B3%E3%83%8F%E3%82%AB%E3%83%8F%E3%83%BC%E3%83%8A-copacabana/uMARS_HaT7CRSwHLNzWWTw
延香園 Enkaen,Ogawachō Kawasaki-Ku イクタス川崎 ５Ｆ Kawasaki-Shi Kanagawa-ken,35.527828,139.699265,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%BB%B6%E9%A6%99%E5%9C%92-enkaen/ynYfAXabSwe1I42MDagtuw
カリフォルニアラウンジ グリル＆バー 矢向 California Lounge Grill&Bar Yakou,4 Chome-333-114 Tsukagoshi Saiwai-Ku Kawasaki-Shi Kanagawa-ken,35.540932,139.681547,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%83%AA%E3%83%95%E3%82%A9%E3%83%AB%E3%83%8B%E3%82%A2%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B7-%E3%82%AF%E3%83%AA%E3%83%AB%26%E3%83%8F%E3%83%BC-%E7%9F%A2%E5%90%91-california-lounge-grill%26bar-yakou/2yk-BhVUQTu_vn-ZdqNA4w
和寿司 Wazushi,Saiwai-Ku Ogura 3 Chome−28 Kawasaki-Shi Kanagawa-ken,35.539471999999996,139.669193,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%92%8C%E5%AF%BF%E5%8F%B8-wazushi/K5UeV1UXSwGzYnX0wBYKHA
